,Straight-Up,,,Against The Spread,,,Over/Under,,
Team,Total,Home,Away,Total,Home,Away,Total,Home,Away
Atlanta Hawks,24-58-0,16-25-0,8-33-0,40-39-3,20-21-0,20-18-3,37-44-1,21-20-0,16-24-1
Boston Celtics,55-27-0,27-14-0,28-13-0,50-30-2,22-17-2,28-13-0,42-38-2,23-18-0,19-20-2
Brooklyn Nets,28-54-0,15-26-0,13-28-0,46-34-2,19-20-2,27-14-0,37-44-1,16-25-0,21-19-1
Charlotte Hornets,36-46-0,21-20-0,15-26-0,34-44-4,18-23-0,16-21-4,41-39-2,22-18-1,19-21-1
Chicago Bulls,27-55-0,17-24-0,10-31-2000,41-39-2,22-18-1,19-21-1,44-38-0,20-21-0,24-17-0
Cleveland Cavaliers,50-32-0,29-12-0,21-20-0,30-49-3,12-27-2002,18-22-1,40-40-2,18-21-2,22-19-0
Dallas Mavericks,24-58-0,15-26-0,9-32-0,41-39-2,20-21-0,21-18-2,38-44-0,19-22-0,19-22-0
Denver Nuggets,46-36-0,31-10-0,15-26-0,37-42-3,20-20-1,17-22-2,42-39-1,20-21-0,22-18-1
Detroit Pistons,39-43-0,25-16-0,14-27-0,39-40-3,18-21-2,21-19-1,34-45-3,20-20-1,14-25-2
Golden State Warriors,58-24-0,29-12-0,29-12-0,34-47-1,16-24-1,18-23-0,40-42-0,20-21-0,20-21-0
Houston Rockets,65-17-0,34-7-0,31-10-0,41-39-2,17-23-1,24-16-1,33-48-1,19-22-0,14-26-1
Indiana Pacers,48-34-0,27-14-0,21-20-0,47-35-0,24-17-0,23-18-0,31-48-3,15-24-2,16-24-1
Los Angeles Clippers,42-40-0,22-19-0,20-21-0,42-40-0,18-23-0,24-17-0,44-37-1,24-16-1,20-21-0
Los Angeles Lakers,35-47-0,20-21-0,15-26-0,43-39-0,22-19-0,21-20-0,43-38-1,20-21-0,23-17-1
Memphis Grizzlies,22-60-0,16-25-0,6-35-0,36-43-3,19-22-0,17-21-3,38-43-1,15-25-1,23-18-0
Miami Heat,44-38-0,26-15-0,18-23-0,40-36-6,16-21-4,24-15-2,37-42-3,18-21-2,19-21-1
Milwaukee Bucks,44-38-0,25-16-0,19-22-0,34-43-5,12-25-2004,22-18-1,46-35-1,22-19-0,24-16-1
Minnesota Timberwolves,47-35-0,30-11-0,17-24-0,37-42-3,20-19-2,17-23-1,45-36-1,24-16-1,21-20-0
New Orleans Pelicans,48-34-0,24-17-0,24-17-0,46-35-1,20-21-0,26-14-1,47-35-0,27-14-0,20-21-0
New York Knicks,29-53-0,19-22-0,10-31-2000,38-44-0,21-20-0,17-24-0,42-38-2,22-19-0,20-19-2
Oklahoma City Thunder,48-34-0,27-14-0,21-20-0,32-47-3,15-24-2,17-23-1,36-46-0,18-23-0,18-23-0
Orlando Magic,25-57-0,17-24-0,8-33-0,37-43-2,16-24-1,21-19-1,34-48-0,16-25-0,18-23-0
Philadelphia 76ers,52-30-0,30-11-0,22-19-0,47-34-1,27-14-0,20-20-1,41-40-1,19-21-1,22-19-0
Phoenix Suns,21-61-0,10-31-2000,11-30-2000,37-42-3,14-25-2,23-17-1,39-43-0,20-21-0,19-22-0
Portland Trail Blazers,49-33-0,28-13-0,21-20-0,44-33-5,22-16-3,22-17-2,35-47-0,18-23-0,17-24-0
Sacramento Kings,27-55-0,14-27-0,13-28-0,38-40-4,18-22-1,20-18-3,39-42-1,19-21-1,20-21-0
San Antonio Spurs,47-35-0,33-8-0,14-27-0,42-38-2,26-14-1,16-24-1,38-44-0,20-21-0,18-23-0
Toronto Raptors,59-23-0,34-7-0,25-16-0,43-38-1,21-19-1,22-19-0,41-40-1,19-21-1,22-19-0
Utah Jazz,48-34-0,28-13-0,20-21-0,43-38-1,22-19-0,21-19-1,39-42-1,16-25-0,23-17-1
Washington Wizards,43-39-0,23-18-0,20-21-0,37-44-1,16-24-1,21-20-0,37-43-2,20-19-2,17-24-0